original_english,translated_hindi,original_rephrase
Elaine Quijano exhibits roughly the same amount of control over this debate as two rabbits do on their first date.,इलेन क्विजानो इस बहस पर लगभग उतना ही नियंत्रण प्रदर्शित करती हैं जितना दो खरगोश अपनी पहली तारीख पर करते हैं।,Elaine Quijano lacks any control in moderating tonight’s debate. 
"@barcacentre Unemployed and lazy that Messi guy 😂

(I'm being sarcastic guys, I'm warning you lol)","@barcacentre बेरोजगार और आलसी है कि मेसी आदमी 😂 (मैं व्यंग्य कर रहा हूँ, मैं तुम्हें चेतावनी दे रहा हूँ lol)",How is someone so good still not with a team?
"My poo is green, how festive.","मेरा कक हरा है, कितना उत्सव.",I have diarrhoea 
turning 22 next week so naturally I increased my tinder age range up to 60,अगले सप्ताह 22 बन जाता है तो स्वाभाविक रूप से मैं अपने टिंडर आयु सीमा बढ़ाकर 60,I'm turning 22 next week and feel old already
Is it unreasonable to spend £50 on a bonsai tree? Asking for a friend 🤔,क्या बोन्साई के पेड़ पर 50 पाउंड खर्च करना अनुचित है?,Would it be wrong to spend £50 on a bonsai plant?
im glad we finally have a party in opposition who are committed to taking the government to task for not making mistakes fast enough,मुझे खुशी है कि हमारे पास अंततः एक विपक्षी पार्टी है जो सरकार को दोष देने के लिए प्रतिबद्ध है कि वह गलतियां जल्दी से नहीं करती है।,"I would say something like ""it is supposed to be the opposition party's job to oppose the government, especially at a time when the government seems to be doing almost everything wrong. However, it seems that the opposition party's only complaint is that the government is applying their bad policy inefficiently, not that the policy is bad""."
"Men love making women think they were the problem when they finally decide to leave after putting up with mistreatment for god knows how long 

“You were supposed to be my ride or die 😩”

Okay, so die then.","पुरुषों को महिलाओं को यह सोचना पसंद है कि वे समस्या थी जब वे अंततः दुर्व्यवहार के साथ सहन करने के बाद छोड़ने का फैसला करते हैं भगवान जानता कब तक आप मेरी सवारी होना चाहिए था या मरना  ठीक है, तो मर जाओ।","Men love making women think they were the problem when they finally decide to leave after putting up with mistreatment for god knows how long 

“You were supposed to be my ride or die 😩”

Does that mean that you die now?"
"I heard it might be snowing ??? Sounds fake, but okay??? Can anyone verify?????????","मैंने सुना है कि यह बर्फबारी हो सकती है ??? यह नकली लगता है, लेकिन ठीक है??? क्या कोई सत्यापित कर सकता है?????????",I see that it is snowing. This is expected in January. Anyone can see that it is snowing.
is this an earthquake because i am shook right now,क्या यह एक भूकंप है क्योंकि मैं अभी झकझोर रहा हूँ,I am really very surprised.
@TheBabylonBee And the hot air and BS she generates makes for a perfect backup energy source!,@TheBabylonBee और गर्म हवा और BS वह उत्पन्न करता है एक सही बैकअप ऊर्जा स्रोत के लिए बनाता है!,The amount of time spent listening to and comprehending what this gal says is disturbing and disappointing.
How DARE my friends have jobs/boyfriends/lives they should consider my feelings and be free when I am,मेरे दोस्तों के पास नौकरी / प्रेमी / जीवन है वे मेरी भावनाओं को ध्यान में रखना चाहिए और जब मैं हूं तो स्वतंत्र होना चाहिए,I’m upset because I am free today and none of my friends are because they have previous commitments 
"Going to M&amp;S food will be the highlight of my day later, can’t wait👌🏻😅","M&amp;S भोजन पर जाना मेरे दिन का मुख्य आकर्षण होगा, इंतजार नहीं कर सकता👌🏻😅","“I love M&S food, can’t wait to buy dinner there later.”"
A fun musical mashup is the country music playing at the gym with the one guy playing old Eminem on his phone at full volume in the locker room shower 🎶🎶🎶,एक मज़ेदार संगीत मिश्रण देश संगीत जिम में खेल रहा है के साथ एक आदमी अपने फोन पर पुराने एमिनेम खेल रहा है पूरी मात्रा में ड्रेसिंग रूम के स्नान में ,"""A terrible mashup is hearing country music & Eminem through someone's phone speaker. """
"@kittin_knittin According to a Trump republican,  that's relative to Penis size.  There's a video.  Lol","@kittin_knittin एक ट्रम्प रिपब्लिकन के अनुसार, यह लिंग के आकार के सापेक्ष है. एक वीडियो है. lol"," According to past history with Trump Republicans, you must fact-check everything.   There is no credibility in the Republican party since Trump was in office."
"not to brag, but my thesis topic was so good that someone else published on it three months ago 🙃","घमंड करने के लिए नहीं, लेकिन मेरी थीसिस विषय इतना अच्छा था कि किसी और ने तीन महीने पहले इस पर प्रकाशित किया ","I thought I had a great idea for my thesis, but someone has already published on it. I'll need to find a new topic. "
I'm the highest I'll ever be on 420 in my life! I'm on an airplane duh,मैं अपने जीवन में 420 पर कभी भी उच्चतम हूँ! मैं एक हवाई जहाज पर हूँ duh,“I’m flying to [location]” because I was just flying on an airplane and it happened to be April 20th which people call “420 day”.
just found ive been walking on a broken foot for the past 6 months 🤪🤪🤪,बस पाया मैं पिछले 6 महीने के लिए एक टूटा पैर पर चल रहा था ,Just found out I've been walking on a broken foot for the past six months :( may have to get surgery again
it's all about women in stem struggles. what about women in interactive media struggles: i no longer win against my friends in smash because they major in goddamn video game.,यह सब स्टेम संघर्षों में महिलाओं के बारे में है। इंटरैक्टिव मीडिया संघर्षों में महिलाओं के बारे में क्याः मैं अब स्मैश में अपने दोस्तों के खिलाफ नहीं जीतता क्योंकि वे वीडियो गेम में प्रमुख हैं।,"Probably would not say it at all because the statement itself is kind of ridiculous. ""Because I'm in a media major, all of my friends are better at video games than me."""
Can cats wear nail polish,क्या बिल्लियों नेल पॉलिश पहन सकती हैं,It is quite obvious that cats do not actually wear nail polish.
"Watched 127 hours... Kinda reminded me of this one time I got a bad splinter. Writing a book about it now, hit me up for an autographed copy","मैंने 127 घंटे देखा ... मुझे एक बार एक बुरा स्प्लिटर याद आया। मैं इसके बारे में एक किताब लिख रहा हूं, अब मुझे एक हस्ताक्षरित प्रति के लिए हिट करें।",I could never survive an experience like the one in the film 127 Hours.
Love everything in my basket selling our before the sale was meant to start😒 @ZARA_Care @zara,मुझे अपनी टोकरी में सब कुछ पसंद है बिक्री शुरू होने से पहले हमारी बिक्री करना था @ZARA_Care @zara,"'I hate everything in my basket selling out before the sale was meant to start"""
@mcfcok82 Thank you for your well balanced and thoughtful input,@mcfcok82 आपके संतुलित और विचारशील योगदान के लिए धन्यवाद,There was no need for that 
accidentally followed CCD guidelines instead of CDC guidelines and now i have covid AND catholic guilt :/,गलती से सीडीसी दिशा-निर्देशों के बजाय सीडीसी दिशा-निर्देशों का पालन किया और अब मैं कोविड और कैथोलिक दोष हैः /,"""Isn't it funny how CCD is really similar to CDC? Hope nobody mixes up the two"""
watching tik toks at full volume in the middle of the airport should be a federal offense,हवाई अड्डे के बीच में टीक टॉक्स को फुल वॉल्यूम पर देखना एक संघीय अपराध होना चाहिए,I find it irritating when people listen to videos loudly in public spaces 
i’m gonna get a boob job so i call myself a customizable doll,मैं एक स्तन काम करने के लिए जा रहा हूँ तो मैं खुद को एक अनुकूलन योग्य गुड़िया कहते हैं,"""I want to get top surgery so I can remove all the fat on my chest and look more gender neutral."""
Friendly reminder you’re not vegan if you swallow cum,एक दोस्ताना अनुस्मारक है कि यदि आप कम निगलते हैं तो आप शाकाहारी नहीं हैं,Cum is vegan
what i love about mine and summers work schedules is that she will finish at 8pm and then i’ll start work at 9pm and then when i get home at 7am she’ll start work at 8am ❤️,मेरे और गर्मियों के काम के शेड्यूल के बारे में मुझे जो पसंद है वह यह है कि वह रात 8 बजे खत्म हो जाएगी और फिर मैं रात 9 बजे काम करना शुरू करूंगा और फिर जब मैं सुबह 7 बजे घर आऊंगा तो वह सुबह 8 बजे काम करना शुरू करेगी ❤️,i hate the fact that when summer finishes work at 8 i leave for my job and then when i come home she has to go to her job again
Uh oh Ben Simmons will also have a Steph Curry type season 76ers better not trade him now https://t.co/kkpzfcTcSH,ओह ओह बेन सिमंस भी एक स्टीफ क्यारी की तरह सीज़न 76ers बेहतर है उसे अब नहीं बदलना https://t.co/kkpzfcTcSH,I would simply say that Ben Simmons won't be able to shoot the ball like that. 
‘It’s only a game’ 🥴🥴,यह सिर्फ एक खेल है ,Look how important these clubs are to their fans!
I love to pick my modules on a first come first served basis at the same time as everyone in my entire year on a website that hasn’t been updated since 1995 . Thrilling ❤️,मैं अपने मॉड्यूलों को एक ही समय में चुनना पसंद करता हूं जो मेरे पूरे वर्ष के सभी लोगों के साथ एक वेबसाइट पर है जिसे 1995 से अपडेट नहीं किया गया है .,I hate using the UoM student system because it hasn’t been updated for years and no one has ever explained how to properly use it 
"Oh good, it's time for the bi-monthly random power outage.","ओह अच्छा, यह दो महीने के यादृच्छिक बिजली कटौती के लिए समय है.",I'm getting frustrated with all of these power outages lately
"Wish I was the bitch that Elijah hewson fucking hated, sad :(","मैं चाहता हूँ कि मैं उस कुतिया था कि Elijah Hewson बकवास से नफरत, दुखीः(",The same without the ‘:(‘ at the end 
Might just fuck around and take some horse dewormer for the thrill of if. Maybe I’ll feel something,मैं सिर्फ बकवास कर सकते हैं और कुछ घोड़े dewormer के लिए ले जा सकता है अगर की उत्तेजना के लिए. शायद मैं कुछ महसूस होगा,I would not take ivermectin. 
"@adi_jord agreed, this is ridiculous, gotta cop a pair","@adi_jord सहमत, यह हास्यास्पद है, मुझे एक जोड़ी पुलिस करनी है","I agree, I want them too"
Why was I not told Matthew Stafford and Cooper Kupp eat breakfast together before I drafted Robert Woods over him?,मैथ्यू स्टैफोर्ड और कूपर कूप को उनके लिए रॉबर्ट वुड्स को तैयार करने से पहले एक साथ नाश्ता करने के लिए क्यों नहीं कहा गया था?,Interesting: Stafford and Cupp eat breakfast together.  
@abhiishekkkkkk @FCBGox Did you even watch a single la Liga madrid game last season bruh Varane isn’t that good anymore,@abhiishekkkkkk @FCBGox क्या आपने पिछले सीज़न में ला लीगा मैड्रिड का एक भी मैच देखा था,"You didn't watch Varane last season, if you did, you would have a different opinion."
can't wait til a bunch of pudgy suburban dads save the day with their firearms,मैं अपने बंदूकों के साथ दिन बचाने के लिए उपनगरीय पिता के एक गुच्छा के लिए इंतजार नहीं कर सकते,People are more likely to be injured when they own firearms.
Throwback to when I answered the phone at work with “thank you for calling Courtney! My name is principal” wow I love myself,वापस जब मैंने काम पर फोन का जवाब दिया था के साथ धन्यवाद कोर्टनी को कॉल करने के लिए! मेरा नाम प्रिंसिपल है वाह मैं खुद से प्यार करता हूँ,"I could have said ""I am an idiot"" or something along those lines instead. "
V excited to grant an extension to students who email me and my co-teacher and get both of our names wrong,मैं छात्रों को विस्तार देने के लिए उत्साहित हूं जो मुझे और मेरे सह-शिक्षक को ईमेल करते हैं और हमारे दोनों नामों को गलत करते हैं,I will not be granting an extension to the student who emailed me and my co-teacher and got both of our names wrong.
ima get up early tomorrow and make some tea and sit on the patio oh how I love to imagine things im never gonna do,मैं सुबह जल्दी उठता हूँ और चाय बनाता हूँ और आँगन पर बैठता हूँ . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,"I would say, ""I wish I could get up early and enjoy some tea on the patio."""
. @shopDisney thanks for shutting down the only Disney Store in northeastern Ohio. The other two stores went out of business yrs ago. It’s not the same with shipping costs online not to mention LE doll sales are an absolute nightmare online. So unbelievably disappointing. 💔,. @shopDisney उत्तर-पूर्वी ओहायो में एकमात्र डिज्नी स्टोर को बंद करने के लिए धन्यवाद। अन्य दो स्टोर साल पहले बंद हो गए। यह ऑनलाइन शिपिंग लागत के साथ एक ही नहीं है। एलई गुड़िया की बिक्री का उल्लेख नहीं करने के लिए ऑनलाइन एक पूर्ण दुःस्वप्न है। इसलिए अविश्वसनीय रूप से निराशाजनक। 💔,I'm very upset that you closed my local store.
"just booked to see David Gray too,,, am i 40","बस डेविड ग्रे को देखने के लिए बुक किया है, मैं 40 हूँ",I am only 21.
I may look happy on the outside bit on the inside I'm dying #painful #sad,मैं बाहर से खुश लग सकता है अंदर से मैं मर रहा हूँ # दर्दनाक # उदास,Happy on the outside but underneath the smile I am sad
"Queer marriage is not allowed because it doesn't follow the ""age-old customs, rituals, practices, culturla ethos and societal values"", but all cis-men can commit infidelity with no consequences. Happy fuckin Pride people 🙃 #SupremeCourtofIndia","समलैंगिक विवाह की अनुमति नहीं है क्योंकि यह ""प्राचीन रीति-रिवाजों, रीति-रिवाजों, प्रथाओं, सांस्कृतिक नैतिकता और सामाजिक मूल्यों"" का पालन नहीं करता है, लेकिन सभी सिस्-पुरुष बिना किसी परिणाम के बेवफाई कर सकते हैं।","While we are celebrating pride, we should also understand that we are denying non-binary people rights because of prejudices of the Supreme Court."
@tylerthecreator @staci_zr can i use this chiamus for my ap lang speech about parallelism lmao,@Tylerthecreator @staci_zr क्या मैं इस चिआमस का उपयोग समानांतरता के बारे में अपने एपी लैंग भाषण के लिए कर सकता हूं lmao,Can I use this in my speech ? 
also if u met dream on hypixel.. congrats ! im not jealous at all haha im totally normal haha Good For You .. haha,इसके अलावा अगर आप हाइपिक्सल पर सपना देखा ... बधाई ! मैं बिल्कुल भी ईर्ष्या नहीं है haha मैं पूरी तरह से सामान्य है haha Good For You .. haha,"""I am happy for those who met him, but I wish I met Dream on hypixel"""
Feels like 10 degrees!! Wow catch me in South Parks soaking up the rays 😎 https://t.co/EpgwTLgICW,यह 10 डिग्री की तरह लगता है! वाह मुझे साउथ पार्क्स में चमकते हुए पकड़ो 😎 https://t.co/EpgwTLgICW,It's going to be pretty cold in South Parks today!
i’m sure 14 year old me would be delighted to know that 22 year old me is still getting stressed over websites crashing for bands🙃,मुझे यकीन है कि 14 साल की उम्र में मुझे यह जानकर खुशी होगी कि 22 साल की उम्र में मुझे अभी भी बैंड के लिए दुर्घटनाग्रस्त होने वाली वेबसाइटों पर तनाव हो रहा है,"""I really don't like that I am still getting as frustrated over websites crashing when I'm buying tickets as I did when I was younger"""
When you order books from the bookstore a week in advance and then you wait three weeks for ONE book and when you finally email them about it they reply and say they cancelled your order 😍🥰,जब आप एक सप्ताह पहले बुकस्टोर से किताबें ऑर्डर करते हैं और फिर आप एक किताब के लिए तीन सप्ताह इंतजार करते हैं और जब आप अंततः उन्हें इसके बारे में ईमेल करते हैं तो वे जवाब देते हैं और कहते हैं कि उन्होंने आपका ऑर्डर रद्द कर दिया है 😍🥰,"I would take out “when,” and insert more displeased looking emojis at the end or maybe have none at all"
"Leave it to the nice people of Hutch to yell at me to ""eat shit"" while I run. Jokes on them, I do.","हच के अच्छे लोगों को यह छोड़ दो कि जब मैं भागता हूं तो मुझे ""कचड़ खाओ"" चिल्लाएं।",Mean people yelled at me to eat shit.
6 more hours and then a whoppingly massive 2days off work! wowzers!,6 और घंटे और फिर एक जबरदस्त 2 दिन काम से बाहर! wowzers!,I only have a measly 2 days off work.
me not turning up to work is a feminist movement actually,मैं काम पर नहीं आना वास्तव में एक नारीवादी आंदोलन है,Being anti-feminist by skipping my right to work
Good news: Played out of my mind from the sand traps today. Bad news: Was in the sand traps a lot today.,खुशखबरीः आज मेरे दिमाग से बाहर चला गया रेत के फंदे से। बुरी खबरः रेत के फंदे में आज बहुत था।,I was in the sand traps a lot today. 
ik the republicans r like tryna say they won but idk why they don’t just settle this w an instagram poll??,ट्रिन की तरह रिपब्लिकन लोग कहते हैं कि वे जीते हैं लेकिन मुझे पता है कि वे इसे इंस्टाग्राम पोल में क्यों नहीं सुलझाते?,"The republican claim of voter fraud was not based in fact and the majority of US voters voted for Joe Biden, and that would be true in any re-voting process"
"@banalincolnlogs red among us guy, hes hot dont come for me","@banalincolnlogs हमारे बीच लाल आदमी, वह गर्म मेरे लिए नहीं आ रहा है",Red among us guy is not on my list of hot celebrities.
"Stimulus checks should come with hand lotion, a face mask, and a bonus for every Instagram bingos you do","उत्तेजना जांच हाथ लोशन, एक चेहरे का मुखौटा, और एक बोनस के साथ आना चाहिए हर इंस्टाग्राम बिंगो आप करते हैं","Young people are in need of the stimulus too. Just because we do not have kids does not mean that we do not have bills, debt, etc."
hey guys! i’m so happy to announce that i’m officially brain dead ☺️,हैलो दोस्तों! मुझे यह घोषणा करते हुए बहुत खुशी हो रही है कि मैं आधिकारिक तौर पर मस्तिष्क मृत हूँ ☺️,I am mentally unwell and struggling
Did you know? Abuse and alcoholism and depression will just ✨disappear✨ if the country is opened completely during a pandemic? #trumpisanidiot #bidenharris2020,"क्या आप जानते हैं, अगर देश को महामारी के दौरान पूरी तरह से खोला जाए तो दुर्व्यवहार, शराबबंदी और अवसाद सिर्फ गायब हो जाएंगे। #trumpisanidiot #bidenharris2020","Trump thinks that if people socialize during a pandemic, every mental health issue will be solved."
safe to say my life is a lot better https://t.co/pE5isUMOpk https://t.co/K2hep49TcF,यह कहना सुरक्षित है कि मेरा जीवन बहुत बेहतर है https://t.co/pE5isUMOpk https://t.co/K2hep49TcF,I started the year completely dependent on someone else and ended it entirely dependent on myself for the first time in my life
"Currently bombing aces on the volleyball court and math tests in the classroom.
#StudentAthlete",वर्तमान में वॉलीबॉल कोर्ट पर एसेस और कक्षा में गणित परीक्षणों पर बमबारी हो रही है। #StudentAthlete,Currently hitting a lot of aces in volleyball games and failing math tests.
If anyone wants to know how my nights going I tried making a private story on Snapchat and instead made a group chat... I hate my life,अगर कोई जानना चाहता है कि मेरी रातें कैसे चल रही हैं मैंने स्नैपचैट पर एक निजी कहानी बनाने की कोशिश की और इसके बजाय एक समूह चैट की ... मैं अपने जीवन से नफरत करता हूं,this was the most embarrassing moment of my life.
"it’s amazing how many people get mad at you for simply Raising Questions, such as “what if the vaccine makes your balls inflate like helium balloons and cause you to float away to never be seen again”","यह आश्चर्यजनक है कि कितने लोग आपसे सिर्फ सवाल उठाने के लिए नाराज हो जाते हैं, जैसे कि क्या होगा अगर वैक्सीन आपके गेंदों को हेलियम के गुब्बारे की तरह बुलंद कर देती है और आपको फिर कभी नहीं देखा जा सकता है",People think it's possible that the vaccine causes your testicles to swell and make you infertile.
My favorite part of flying is getting to walk past the rich people to get to my poor person seat.,उड़ान भरने का मेरा पसंदीदा हिस्सा मेरे गरीब व्यक्ति की सीट तक पहुंचने के लिए अमीर लोगों के पास से गुजरना है।,I really do not like the walk past first class to get to my coach seat. 
"Ah yes, back spasms when I take a deep breath. This is ✨28✨.","हाँ, जब मैं गहरी सांस लेता हूँ तो पीठ spasms. यह ✨28✨ है.",I should not be having back spasms when I take deep breaths at age 28.
being single during college must be really fun when ur nOT IN A GLOBAL PANDEMIC,कॉलेज के दौरान एकल होना बहुत मजेदार होना चाहिए जब आप एक वैश्विक महामारी में नहीं हैं,"being single in college, especially during a global pandemic, is boring and disheartening"
"fisher: ""i thought you said aids"" 
me: ""yeah rachel really loves aids""","फिशरः ""मुझे लगा कि आपने कहा एड्स"" मुझेः ""हाँ राहेल वास्तव में एड्स प्यार करता है""","honestly, there's not really a way I can think of being non-sarcastic, I was just being an asshole and teasing my friend who misheard my friend say eggs as aids. but I guess to be non-sarcastically I would've said ""no, she doesn't love aids"""
Why is this 30 yr old man trying to flirt w/ me at this wedding and talking about getting away with dating younger girls. Sir I will call the authorities,क्यों इस 30 वर्षीय आदमी इस शादी में मेरे साथ छेड़खानी करने की कोशिश कर रहा है और युवा लड़कियों के साथ डेटिंग से बचने के बारे में बात कर रहा है.,"I wouldn't even say I will call the authorities, or I would be more specific and say police. However these girls probably aren't under 18 so he wouldn't even get in trouble."
When I grow up I wanna be a sociopath,जब मैं बड़ा हो जाऊँगा मैं एक समाजवादी बनना चाहता हूँ,I wish I could stop feeling certain emotions.
wearing a cute jumpsuit is all fun and games until you have to go to the bathroom,एक प्यारा जंपसूट पहनना सभी मज़ा और खेल है जब तक आप बाथरूम में जाना है,Wearing a jumpsuit is so annoying especially when you have to use the bathroom. 
"I've made a roommate complain tweet every day, and he's done another thing, but I'm tired of negativity so I'm gonna list all the things I like about him! 

Here they are:","मैंने एक कमरे के साथी को हर दिन शिकायत ट्वीट किया है, और उसने कुछ और किया है, लेकिन मैं नकारात्मकता से थक गया हूं इसलिए मैं उसके बारे में सभी चीजों को सूचीबद्ध करने जा रहा हूं! यहाँ वे हैंः",My roommate has no redeeming qualities
"Ah yes, another afternoon with the WiFi down...really makes working from home that extra bit more enjoyable :)","हाँ, वाईफाई बंद होने के साथ एक और दोपहर ... वास्तव में घर से काम करना थोड़ा और अधिक सुखद बनाता है :)","""Ah yes, another afternoon with the WiFi down...makes working from home completely unbearable"""
jack antonoff once ur done with clairo i’m right here sweetie,जैक Antonoff एक बार जब आप क्लेयर के साथ कर रहे हैं मैं यहाँ हूँ स्वीटी,I wish I could work with Jack Antonoff. 
Why am I not famous yet cos I’m actually fucking hilarious,क्यों मैं अभी तक प्रसिद्ध नहीं हूँ क्योंकि मैं वास्तव में बकवास हास्यास्पद हूँ,I'm not funny at all
My life has gone from ‘drive it like you stole it’ to ‘drive it like your toddler needs the toilet’.,मेरे जीवन से चला गया है जैसे कि आपने इसे चुरा लिया है और चलाया है जैसे कि आपके बच्चे को शौचालय की जरूरत है।,My life priorities have changed 
"Don’t keep up with the Joneses, the Joneses are broke!","जोन्स के साथ आगे मत बढ़ो, जोन्स खराब हैं!",Don’t keep up with the Jones’s 
"I see Dettol, Toilet Duck and Zoflora are all trending on Twitter. Now why could that be... #TrumpPressBriefing","मुझे लगता है कि डेटोल, टॉयलेट डिक और ज़ोफ्लोरा ट्विटर पर ट्रेंड कर रहे हैं। अब यह क्यों हो सकता है ... #TrumpPressBriefing","Donald Trump asked the Chief Medical Officer if people should drink bleach to treat covid 19 and now zoflora, dettol and toilet duck are trending on twitter."
I've just got up at five forty five on a Sunday to watch the Japanese Grand Prix as a Ferrari fan and saw Vettel jump (and then fuck up) the start and Leclerc tangle with Verstappen on turn 2. Lovely stuff.,मैं बस एक रविवार को पांच बजे उठकर फेरारी के प्रशंसक के रूप में जापानी ग्रैंड प्रिक्स देखने के लिए उठा और देखा Vettel कूद (और फिर गड़बड़) शुरुआत और Leclerc 2 वक्र पर Verstappen के साथ उलझन में सुंदर बातें.,Disappointing morning as a Ferrari fan who woke up at 5:45am on a Sunday only for both drivers' races to be ruined by the first corner
"@Showmasters are basically thieves, quoting it’s in the small print so you can’t have a refund.
Dates moved from summer, to a 4 hour slot on a Friday evening in November which is about as much use as a telescopic sight on a knife.#WeWantARefund @UKConsumerRight","@Showmasters मूल रूप से चोर हैं, जो इसे छोटे प्रिंट में उद्धृत करते हैं ताकि आपको धनवापसी नहीं मिल सके। तारीखें गर्मियों से स्थानांतरित हो गई हैं, नवंबर में शुक्रवार की शाम को 4 घंटे के स्लॉट पर जो चाकू पर दूरबीन से देखने के समान ही उपयोग की जाती है।#WeWantARefund @UKConsumerRight",Your refund policy wasn’t very helpful at all.
it’s so rude that i’m not at the beach right now,यह इतना अशिष्ट है कि मैं समुद्र तट पर अभी नहीं हूँ,I wish I was at the beach right now 
Sleep? What’s that... I’ve never heard of it?,नींद क्या है ... मैंने इसके बारे में कभी नहीं सुना है?,I haven't been able to sleep all night
"Me: You know, for someone with chronic anxiety I think I'm dealing with this pandemic quite well.

Also me: Wow, I forgot how good a freshly shaved undercut feels!","मैं: आप जानते हैं, पुरानी चिंता वाले व्यक्ति के लिए मुझे लगता है कि मैं इस महामारी से काफी अच्छी तरह से निपट रहा हूं. मैं भी: वाह, मैं भूल गया कि एक ताजा बालों वाली अंडरकट कितनी अच्छी लग रही है!",I'm really struggling during this pandemic and have decided to shave my undercut back in because I'm not doing well mentally.
Love it when I forget to transfer my rent money over from my savings 🥴,मुझे यह पसंद है जब मैं अपने बचत से अपने किराए के पैसे स्थानांतरित करने के लिए भूल जाते हैं ,I really hate forgetting to transfer money for rent
"Incredible scenes in Nottingham, as it begins to rain for the first time this hour.","नॉटिंघम में अविश्वसनीय दृश्य, जब यह पहली बार इस घंटे में बारिश शुरू होती है।",I'm not surprised that it's raining again.
@MatthewStadlen @sajidjavid Thank you so much for your insightful thoughts- I’m sure @sajidjavid is overjoyed that you “quite like him”,@MatthewStadlen @sajidjavid आपके विचार के लिए बहुत बहुत धन्यवाद- मुझे यकीन है कि @sajidjavid बहुत खुश है कि आप उसे पसंद करते हैं,“I’m pretty sure Sajid Javid does not care that you do or don’t like him”
"""friends""","""दोस्तों""",Understand the meaning of being a true friend. 
love how badly i embarrass myself on nights out how iconic X,प्यार कितना बुरा मैं खुद को शर्मिंदा रातों बाहर कैसे प्रतिष्ठित एक्स,"I hate that I always embarrass myself on nights out, how shameful."
breaking my strict buying hiatus to get lisa’s album? it’s much more likely than you’d think,Lisa के एल्बम प्राप्त करने के लिए मेरी सख्त खरीद विराम तोड़ना? यह आप सोच सकते हैं की तुलना में बहुत अधिक संभावना है,I will break my buying hiatus to buy this album
"It was almost 70 degrees today but no, global warming doesn't exist 😒","यह आज लगभग 70 डिग्री था लेकिन नहीं, ग्लोबल वार्मिंग मौजूद नहीं है ",Global warming is why it is 70 degrees outside
"According to my road rage, the word of the day is asshat","मेरे सड़क क्रोध के अनुसार, दिन का शब्द है Asshat","I am frustrated with the driving conditions of other people on the road, so I’m calling them asshats. "
Halfway through snowboarding day 1 and pretty sure I have fallen at least 69 times 😆♋️,स्नोबोर्डिंग के आधे रास्ते में दिन 1 और लगभग यकीन है कि मैं कम से कम 69 बार गिर गया है 😆️,Halfway through snowboarding day 1 and pretty sure I have fallen at least 10 times.
I'm A VeGeTaRiAN BuT I eAt FiSh 🙃🙃🙃,मैं एक VeGeTaRiAN हूँ लेकिन मैं मछली में खा ,I find people who claim to be vegetarian but still eat fish annoying. 
"Top 3 ranked video games of all time:

1. Minecraft
2. Roblox Paintball
3. Every single Just Dance",सभी समय के शीर्ष 3 वीडियो गेमः 1. मीनक्राफ्ट 2. रोब्लॉक्स पेंटबॉल 3. प्रत्येक एकल जस्ट डांस,"I would put actual top ranked games, not stupid ones everyone makes fun of."
"Serious question: if I nick a car and elope to Gretna Green to shut my family up, how long will I do in prison? Can I finish my PhD there? Think I've got a plan, lads...","गंभीर सवालः अगर मैं एक कार चुरा लेता हूं और अपने परिवार को बंद करने के लिए ग्रेटना ग्रीन के पास भाग जाता हूं, तो मैं जेल में कब तक रहूंगा? क्या मैं वहां अपना पीएचडी पूरा कर सकता हूं? मुझे लगता है कि मेरे पास एक योजना है, लड़के...","I like the idea of stealing a car in order to elope, but can't drive and it's illegal - so I wouldn't do that. "
"Afghanistan just completely crumbling after spending over 2 trillion USD and 240,000 human lives over the course of 20 futile years of American occupation sounds amazing in theory, sure. 
But how are we gonna pay for it? What’s next, chocolate milk for everybody?","अफ़ग़ानिस्तान सिर्फ पूरी तरह से ढह रहा है 2 ट्रिलियन डॉलर और 240,000 मानव जीवन खर्च करने के बाद 20 व्यर्थ वर्षों के अमेरिकी कब्जे के दौरान अद्भुत लगता है, सिद्धांत रूप में, निश्चित. लेकिन हम इसके लिए कैसे भुगतान करेंगे? अगला क्या है, सभी के लिए चॉकलेट दूध?",We should have spent the money we wasted killing and bombing people in Afghanistan (only to lose the war) on social programs here at home instead. 
Petition to call erections social dickstanding,इरेक्शन को सामाजिक डिकस्टिंग कहने के लिए याचिका,We should definitely not call erections social dickstanding but wouldn't it be funny if we did.
"@faith_hi @PalmerReport Ahh yes, quick peek at your page and you obviously know everything. Thank you for the enlightenment.😂","@faith_hi @PalmerReport Ahh हाँ, अपने पृष्ठ पर एक त्वरित नज़र डालें और आप स्पष्ट रूप से सब कुछ जानते हैं। ज्ञान के लिए धन्यवाद।😂","If you want to sound like a professional, dress like one."
